tagId,parentId,name,code,isLeaf
159,157,娱乐资讯,2010402,1
160,157,学术资讯,2010403,1
161,157,体育资讯,2010404,1
162,157,财经资讯,2010405,1
163,157,科技资讯,2010406,1
164,157,游戏攻略,2010407,1
166,165,微博,2010501,1
167,165,婚恋,2010502,1
168,165,交友\社区,2010503,1
169,165,图片分享,2010504,1
170,165,博客论坛,2010505,1
172,171,即时通讯,2010601,1
173,171,短信,2010602,1
174,171,邮件,2010603,1
175,171,电话,2010604,1
177,176,电台,2010701,1
178,176,音乐,2010702,1
179,176,视频,2010703,1
180,176,秀场,2010704,1
181,176,有声读物,2010705,1
183,182,地图,2010801,1
184,182,导航,2010802,1
185,182,代驾,2010803,1
186,182,打车,2010804,1
187,182,租车,2010805,1
188,182,航班,2010806,1
189,182,公交,2010807,1
190,182,火车,2010808,1
191,182,酒店应用,2010809,1
192,182,旅游资讯,2010810,1
193,182,旅游产品,2010811,1
194,182,游记分享,2010812,1
195,182,长途客车,2010813,1
197,196,装潢,2010901,1
198,196,家电,2010902,1
199,196,家具,2010903,1
200,196,家居用品,2010904,1
201,196,智能家居,2010905,1
695,196,智能家电,2010906,1
696,196,智能硬件,2010907,1
203,202,减肥,2011001,1
204,202,运动健身,2011002,1
205,202,养生,2011003,1
206,202,医疗,2011004,1
207,202,健康管理,2011005,1
694,202,健康可穿戴,2011006,1
209,208,拍照摄影,2011101,1
210,208,文玩收藏,2011102,1
211,208,外卖订餐,2011103,1
212,208,占星运程,2011104,1
213,208,优惠券,2011105,1
214,208,点评,2011106,1
215,208,食谱,2011107,1
216,208,营业厅,2011108,1
217,208,天气,2011109,1
218,208,时钟,2011110,1
219,208,快递,2011111,1
220,208,日历,2011112,1
221,208,记账,2011113,1
222,208,车主服务,2011114,1
223,208,便民服务,2011115,1
224,208,时尚穿搭,2011116,1
225,208,积分活动,2011117,1
226,208,家政,2011118,1
227,208,生活综合,2011119,1
229,228,招聘求职,2011201,1
230,228,日程管理,2011202,1
231,228,笔记,2011203,1
232,228,备忘,2011204,1
233,228,文件编辑,2011205,1
234,228,名片,2011206,1
235,228,通讯录,2011207,1
236,228,网盘,2011208,1
237,228,店铺管理,2011209,1
238,228,工程制图,2011210,1
240,239,系统工具,2011301,1
241,239,应用商店,2011302,1
242,239,搜索,2011303,1
243,239,输入法,2011304,1
244,239,浏览器,2011305,1
245,239,桌面美化,2011306,1
246,239,阅读器,2011307,1
247,239,实用工具,2011308,1
249,239,编辑器,2011309,1
250,239,WIFI,2011310,1
252,251,财富管理,2011401,1
253,251,货币基金,2011402,1
254,251,直销银行,2011403,1
255,251,直销保险,2011404,1
256,251,证券,2011405,1
257,251,期货,2011406,1
258,251,外汇,2011407,1
259,251,贵金属,2011408,1
260,251,众筹融资,2011409,1
261,251,彩票,2011410,1
262,251,支付,2011411,1
263,251,借贷,2011412,1
691,251,手机银行,2011413,1
692,251,保险,2011414,1
266,265,房屋咨询,2011501,1
267,265,买房,2011502,1
268,265,卖房,2011503,1
269,265,租房,2011504,1
271,270,怀孕备孕,2011601,1
272,270,育儿,2011602,1
273,270,母婴用品类,2011603,1
275,274,KTV,2011701,1
276,274,演出,2011702,1
277,274,电影,2011703,1
279,278,汽车资讯,2011801,1
280,278,买卖车,2011802,1
282,281,护肤类应用,2011901,1
283,281,美容美发美甲,2011902,1
284,281,彩妆类应用,2011903,1
303,302,性别,301,0
306,302,人生阶段,302,0
316,302,身份职业,303,0
318,302,婚育情况,304,0
326,302,车辆情况,305,0
304,303,男,30101,0
305,303,女,30102,1
698,306,19-25岁,30207,1
699,306,26-35岁,30208,1
700,306,36-45岁,30209,1
701,306,46-55岁,30210,1
702,306,55岁以上,30211,1
703,306,19岁以下,30212,1
313,312,消费品类,401,0
314,312,消费定位,402,0
315,312,品牌国家,403,0
329,313,珠宝手表,40101,0
333,313,服饰鞋帽,40102,0
351,313,家居厨具,40103,0
354,313,运动健康,40104,0
357,313,箱包,40105,0
360,313,母婴用品,40106,0
364,313,数码,40107,0
366,313,文化教育,40108,0
375,313,化妆品,40109,0
381,313,餐饮,40110,0
390,313,家用电器,40111,0
399,313,休闲娱乐,40112,0
403,313,生活服务,40113,0
425,313,零售卖场,40114,0
471,313,汽车服务,40115,0
578,313,医疗,40117,0
579,313,结婚,40118,0
580,313,丽人,40119,0
582,313,金融,40120,0
584,313,亲子,40121,0
589,313,培训机构,40122,0
1036,313,旅游景点,40125,0
1041,313,酒店,40126,0
331,314,时尚品牌,40201,1
341,314,高端品牌,40202,1
347,314,大众品牌,40203,1
374,314,奢侈品牌,40204,1
332,315,瑞士,40301,1
338,315,法国,40302,1
339,315,香港,40303,1
